Date Key,Full Date,Year,Quarter,Quarter Name,Month,Month Name,Month Short,Month-Year,Day,Day of Week,Is Weekend
20220306,2022-03-06,2022,1,Q1,3,March,Mar,Mar 2022,6,Sunday,1
20220307,2022-03-07,2022,1,Q1,3,March,Mar,Mar 2022,7,Monday,0
20220308,2022-03-08,2022,1,Q1,3,March,Mar,Mar 2022,8,Tuesday,0
20220309,2022-03-09,2022,1,Q1,3,March,Mar,Mar 2022,9,Wednesday,0
20220310,2022-03-10,2022,1,Q1,3,March,Mar,Mar 2022,10,Thursday,0
20220311,2022-03-11,2022,1,Q1,3,March,Mar,Mar 2022,11,Friday,0
20220312,2022-03-12,2022,1,Q1,3,March,Mar,Mar 2022,12,Saturday,1
20220313,2022-03-13,2022,1,Q1,3,March,Mar,Mar 2022,13,Sunday,1
20220314,2022-03-14,2022,1,Q1,3,March,Mar,Mar 2022,14,Monday,0
20220315,2022-03-15,2022,1,Q1,3,March,Mar,Mar 2022,15,Tuesday,0
20220316,2022-03-16,2022,1,Q1,3,March,Mar,Mar 2022,16,Wednesday,0
20220317,2022-03-17,2022,1,Q1,3,March,Mar,Mar 2022,17,Thursday,0
20220318,2022-03-18,2022,1,Q1,3,March,Mar,Mar 2022,18,Friday,0
20220319,2022-03-19,2022,1,Q1,3,March,Mar,Mar 2022,19,Saturday,1
20220320,2022-03-20,2022,1,Q1,3,March,Mar,Mar 2022,20,Sunday,1
20220321,2022-03-21,2022,1,Q1,3,March,Mar,Mar 2022,21,Monday,0
20220322,2022-03-22,2022,1,Q1,3,March,Mar,Mar 2022,22,Tuesday,0
20220323,2022-03-23,2022,1,Q1,3,March,Mar,Mar 2022,23,Wednesday,0
20220324,2022-03-24,2022,1,Q1,3,March,Mar,Mar 2022,24,Thursday,0
20220325,2022-03-25,2022,1,Q1,3,March,Mar,Mar 2022,25,Friday,0
20220326,2022-03-26,2022,1,Q1,3,March,Mar,Mar 2022,26,Saturday,1
20220327,2022-03-27,2022,1,Q1,3,March,Mar,Mar 2022,27,Sunday,1
20220328,2022-03-28,2022,1,Q1,3,March,Mar,Mar 2022,28,Monday,0
20220329,2022-03-29,2022,1,Q1,3,March,Mar,Mar 2022,29,Tuesday,0
20220330,2022-03-30,2022,1,Q1,3,March,Mar,Mar 2022,30,Wednesday,0
20220331,2022-03-31,2022,1,Q1,3,March,Mar,Mar 2022,31,Thursday,0
20220401,2022-04-01,2022,2,Q2,4,April,Apr,Apr 2022,1,Friday,0
20220402,2022-04-02,2022,2,Q2,4,April,Apr,Apr 2022,2,Saturday,1
20220403,2022-04-03,2022,2,Q2,4,April,Apr,Apr 2022,3,Sunday,1
20220404,2022-04-04,2022,2,Q2,4,April,Apr,Apr 2022,4,Monday,0
20220405,2022-04-05,2022,2,Q2,4,April,Apr,Apr 2022,5,Tuesday,0
20220406,2022-04-06,2022,2,Q2,4,April,Apr,Apr 2022,6,Wednesday,0
20220407,2022-04-07,2022,2,Q2,4,April,Apr,Apr 2022,7,Thursday,0
20220408,2022-04-08,2022,2,Q2,4,April,Apr,Apr 2022,8,Friday,0
20220409,2022-04-09,2022,2,Q2,4,April,Apr,Apr 2022,9,Saturday,1
20220410,2022-04-10,2022,2,Q2,4,April,Apr,Apr 2022,10,Sunday,1
20220411,2022-04-11,2022,2,Q2,4,April,Apr,Apr 2022,11,Monday,0
20220412,2022-04-12,2022,2,Q2,4,April,Apr,Apr 2022,12,Tuesday,0
20220413,2022-04-13,2022,2,Q2,4,April,Apr,Apr 2022,13,Wednesday,0
20220414,2022-04-14,2022,2,Q2,4,April,Apr,Apr 2022,14,Thursday,0
20220415,2022-04-15,2022,2,Q2,4,April,Apr,Apr 2022,15,Friday,0
20220416,2022-04-16,2022,2,Q2,4,April,Apr,Apr 2022,16,Saturday,1
20220417,2022-04-17,2022,2,Q2,4,April,Apr,Apr 2022,17,Sunday,1
20220418,2022-04-18,2022,2,Q2,4,April,Apr,Apr 2022,18,Monday,0
20220419,2022-04-19,2022,2,Q2,4,April,Apr,Apr 2022,19,Tuesday,0
20220420,2022-04-20,2022,2,Q2,4,April,Apr,Apr 2022,20,Wednesday,0
20220421,2022-04-21,2022,2,Q2,4,April,Apr,Apr 2022,21,Thursday,0
20220422,2022-04-22,2022,2,Q2,4,April,Apr,Apr 2022,22,Friday,0
20220423,2022-04-23,2022,2,Q2,4,April,Apr,Apr 2022,23,Saturday,1
20220424,2022-04-24,2022,2,Q2,4,April,Apr,Apr 2022,24,Sunday,1
20220425,2022-04-25,2022,2,Q2,4,April,Apr,Apr 2022,25,Monday,0
20220426,2022-04-26,2022,2,Q2,4,April,Apr,Apr 2022,26,Tuesday,0
20220427,2022-04-27,2022,2,Q2,4,April,Apr,Apr 2022,27,Wednesday,0
20220428,2022-04-28,2022,2,Q2,4,April,Apr,Apr 2022,28,Thursday,0
20220429,2022-04-29,2022,2,Q2,4,April,Apr,Apr 2022,29,Friday,0
20220430,2022-04-30,2022,2,Q2,4,April,Apr,Apr 2022,30,Saturday,1
20220501,2022-05-01,2022,2,Q2,5,May,May,May 2022,1,Sunday,1
20220502,2022-05-02,2022,2,Q2,5,May,May,May 2022,2,Monday,0
20220503,2022-05-03,2022,2,Q2,5,May,May,May 2022,3,Tuesday,0
20220504,2022-05-04,2022,2,Q2,5,May,May,May 2022,4,Wednesday,0
20220505,2022-05-05,2022,2,Q2,5,May,May,May 2022,5,Thursday,0
20220506,2022-05-06,2022,2,Q2,5,May,May,May 2022,6,Friday,0
20220507,2022-05-07,2022,2,Q2,5,May,May,May 2022,7,Saturday,1
20220508,2022-05-08,2022,2,Q2,5,May,May,May 2022,8,Sunday,1
20220509,2022-05-09,2022,2,Q2,5,May,May,May 2022,9,Monday,0
20220510,2022-05-10,2022,2,Q2,5,May,May,May 2022,10,Tuesday,0
20220511,2022-05-11,2022,2,Q2,5,May,May,May 2022,11,Wednesday,0
20220512,2022-05-12,2022,2,Q2,5,May,May,May 2022,12,Thursday,0
20220513,2022-05-13,2022,2,Q2,5,May,May,May 2022,13,Friday,0
20220514,2022-05-14,2022,2,Q2,5,May,May,May 2022,14,Saturday,1
20220515,2022-05-15,2022,2,Q2,5,May,May,May 2022,15,Sunday,1
20220516,2022-05-16,2022,2,Q2,5,May,May,May 2022,16,Monday,0
20220517,2022-05-17,2022,2,Q2,5,May,May,May 2022,17,Tuesday,0
20220518,2022-05-18,2022,2,Q2,5,May,May,May 2022,18,Wednesday,0
20220519,2022-05-19,2022,2,Q2,5,May,May,May 2022,19,Thursday,0
20220520,2022-05-20,2022,2,Q2,5,May,May,May 2022,20,Friday,0
20220521,2022-05-21,2022,2,Q2,5,May,May,May 2022,21,Saturday,1
20220522,2022-05-22,2022,2,Q2,5,May,May,May 2022,22,Sunday,1
20220523,2022-05-23,2022,2,Q2,5,May,May,May 2022,23,Monday,0
20220524,2022-05-24,2022,2,Q2,5,May,May,May 2022,24,Tuesday,0
20220525,2022-05-25,2022,2,Q2,5,May,May,May 2022,25,Wednesday,0
20220526,2022-05-26,2022,2,Q2,5,May,May,May 2022,26,Thursday,0
20220527,2022-05-27,2022,2,Q2,5,May,May,May 2022,27,Friday,0
20220528,2022-05-28,2022,2,Q2,5,May,May,May 2022,28,Saturday,1
20220529,2022-05-29,2022,2,Q2,5,May,May,May 2022,29,Sunday,1
20220530,2022-05-30,2022,2,Q2,5,May,May,May 2022,30,Monday,0
20220531,2022-05-31,2022,2,Q2,5,May,May,May 2022,31,Tuesday,0
20220601,2022-06-01,2022,2,Q2,6,June,Jun,Jun 2022,1,Wednesday,0
20220602,2022-06-02,2022,2,Q2,6,June,Jun,Jun 2022,2,Thursday,0
20220603,2022-06-03,2022,2,Q2,6,June,Jun,Jun 2022,3,Friday,0
20220604,2022-06-04,2022,2,Q2,6,June,Jun,Jun 2022,4,Saturday,1
20220605,2022-06-05,2022,2,Q2,6,June,Jun,Jun 2022,5,Sunday,1
20220606,2022-06-06,2022,2,Q2,6,June,Jun,Jun 2022,6,Monday,0
20220607,2022-06-07,2022,2,Q2,6,June,Jun,Jun 2022,7,Tuesday,0
20220608,2022-06-08,2022,2,Q2,6,June,Jun,Jun 2022,8,Wednesday,0
20220609,2022-06-09,2022,2,Q2,6,June,Jun,Jun 2022,9,Thursday,0
20220610,2022-06-10,2022,2,Q2,6,June,Jun,Jun 2022,10,Friday,0
20220611,2022-06-11,2022,2,Q2,6,June,Jun,Jun 2022,11,Saturday,1
20220612,2022-06-12,2022,2,Q2,6,June,Jun,Jun 2022,12,Sunday,1
20220613,2022-06-13,2022,2,Q2,6,June,Jun,Jun 2022,13,Monday,0
20220614,2022-06-14,2022,2,Q2,6,June,Jun,Jun 2022,14,Tuesday,0
20220615,2022-06-15,2022,2,Q2,6,June,Jun,Jun 2022,15,Wednesday,0
20220616,2022-06-16,2022,2,Q2,6,June,Jun,Jun 2022,16,Thursday,0
20220617,2022-06-17,2022,2,Q2,6,June,Jun,Jun 2022,17,Friday,0
20220618,2022-06-18,2022,2,Q2,6,June,Jun,Jun 2022,18,Saturday,1
20220619,2022-06-19,2022,2,Q2,6,June,Jun,Jun 2022,19,Sunday,1
20220620,2022-06-20,2022,2,Q2,6,June,Jun,Jun 2022,20,Monday,0
20220621,2022-06-21,2022,2,Q2,6,June,Jun,Jun 2022,21,Tuesday,0
20220622,2022-06-22,2022,2,Q2,6,June,Jun,Jun 2022,22,Wednesday,0
20220623,2022-06-23,2022,2,Q2,6,June,Jun,Jun 2022,23,Thursday,0
20220624,2022-06-24,2022,2,Q2,6,June,Jun,Jun 2022,24,Friday,0
20220625,2022-06-25,2022,2,Q2,6,June,Jun,Jun 2022,25,Saturday,1
20220626,2022-06-26,2022,2,Q2,6,June,Jun,Jun 2022,26,Sunday,1
20220627,2022-06-27,2022,2,Q2,6,June,Jun,Jun 2022,27,Monday,0
20220628,2022-06-28,2022,2,Q2,6,June,Jun,Jun 2022,28,Tuesday,0
20220629,2022-06-29,2022,2,Q2,6,June,Jun,Jun 2022,29,Wednesday,0
20220630,2022-06-30,2022,2,Q2,6,June,Jun,Jun 2022,30,Thursday,0
20220701,2022-07-01,2022,3,Q3,7,July,Jul,Jul 2022,1,Friday,0
20220702,2022-07-02,2022,3,Q3,7,July,Jul,Jul 2022,2,Saturday,1
20220703,2022-07-03,2022,3,Q3,7,July,Jul,Jul 2022,3,Sunday,1
20220704,2022-07-04,2022,3,Q3,7,July,Jul,Jul 2022,4,Monday,0
20220705,2022-07-05,2022,3,Q3,7,July,Jul,Jul 2022,5,Tuesday,0
20220706,2022-07-06,2022,3,Q3,7,July,Jul,Jul 2022,6,Wednesday,0
20220707,2022-07-07,2022,3,Q3,7,July,Jul,Jul 2022,7,Thursday,0
20220708,2022-07-08,2022,3,Q3,7,July,Jul,Jul 2022,8,Friday,0
20220709,2022-07-09,2022,3,Q3,7,July,Jul,Jul 2022,9,Saturday,1
20220710,2022-07-10,2022,3,Q3,7,July,Jul,Jul 2022,10,Sunday,1
20220711,2022-07-11,2022,3,Q3,7,July,Jul,Jul 2022,11,Monday,0
20220712,2022-07-12,2022,3,Q3,7,July,Jul,Jul 2022,12,Tuesday,0
20220713,2022-07-13,2022,3,Q3,7,July,Jul,Jul 2022,13,Wednesday,0
20220714,2022-07-14,2022,3,Q3,7,July,Jul,Jul 2022,14,Thursday,0
20220715,2022-07-15,2022,3,Q3,7,July,Jul,Jul 2022,15,Friday,0
20220716,2022-07-16,2022,3,Q3,7,July,Jul,Jul 2022,16,Saturday,1
20220717,2022-07-17,2022,3,Q3,7,July,Jul,Jul 2022,17,Sunday,1
20220718,2022-07-18,2022,3,Q3,7,July,Jul,Jul 2022,18,Monday,0
20220719,2022-07-19,2022,3,Q3,7,July,Jul,Jul 2022,19,Tuesday,0
20220720,2022-07-20,2022,3,Q3,7,July,Jul,Jul 2022,20,Wednesday,0
20220721,2022-07-21,2022,3,Q3,7,July,Jul,Jul 2022,21,Thursday,0
20220722,2022-07-22,2022,3,Q3,7,July,Jul,Jul 2022,22,Friday,0
20220723,2022-07-23,2022,3,Q3,7,July,Jul,Jul 2022,23,Saturday,1
20220724,2022-07-24,2022,3,Q3,7,July,Jul,Jul 2022,24,Sunday,1
20220725,2022-07-25,2022,3,Q3,7,July,Jul,Jul 2022,25,Monday,0
20220726,2022-07-26,2022,3,Q3,7,July,Jul,Jul 2022,26,Tuesday,0
20220727,2022-07-27,2022,3,Q3,7,July,Jul,Jul 2022,27,Wednesday,0
20220728,2022-07-28,2022,3,Q3,7,July,Jul,Jul 2022,28,Thursday,0
20220729,2022-07-29,2022,3,Q3,7,July,Jul,Jul 2022,29,Friday,0
20220730,2022-07-30,2022,3,Q3,7,July,Jul,Jul 2022,30,Saturday,1
20220731,2022-07-31,2022,3,Q3,7,July,Jul,Jul 2022,31,Sunday,1
20220801,2022-08-01,2022,3,Q3,8,August,Aug,Aug 2022,1,Monday,0
20220802,2022-08-02,2022,3,Q3,8,August,Aug,Aug 2022,2,Tuesday,0
20220803,2022-08-03,2022,3,Q3,8,August,Aug,Aug 2022,3,Wednesday,0
20220804,2022-08-04,2022,3,Q3,8,August,Aug,Aug 2022,4,Thursday,0
20220805,2022-08-05,2022,3,Q3,8,August,Aug,Aug 2022,5,Friday,0
20220806,2022-08-06,2022,3,Q3,8,August,Aug,Aug 2022,6,Saturday,1
20220807,2022-08-07,2022,3,Q3,8,August,Aug,Aug 2022,7,Sunday,1
20220808,2022-08-08,2022,3,Q3,8,August,Aug,Aug 2022,8,Monday,0
20220809,2022-08-09,2022,3,Q3,8,August,Aug,Aug 2022,9,Tuesday,0
20220810,2022-08-10,2022,3,Q3,8,August,Aug,Aug 2022,10,Wednesday,0
20220811,2022-08-11,2022,3,Q3,8,August,Aug,Aug 2022,11,Thursday,0
20220812,2022-08-12,2022,3,Q3,8,August,Aug,Aug 2022,12,Friday,0
20220813,2022-08-13,2022,3,Q3,8,August,Aug,Aug 2022,13,Saturday,1
20220814,2022-08-14,2022,3,Q3,8,August,Aug,Aug 2022,14,Sunday,1
20220815,2022-08-15,2022,3,Q3,8,August,Aug,Aug 2022,15,Monday,0
20220816,2022-08-16,2022,3,Q3,8,August,Aug,Aug 2022,16,Tuesday,0
20220817,2022-08-17,2022,3,Q3,8,August,Aug,Aug 2022,17,Wednesday,0
20220818,2022-08-18,2022,3,Q3,8,August,Aug,Aug 2022,18,Thursday,0
20220819,2022-08-19,2022,3,Q3,8,August,Aug,Aug 2022,19,Friday,0
20220820,2022-08-20,2022,3,Q3,8,August,Aug,Aug 2022,20,Saturday,1
20220821,2022-08-21,2022,3,Q3,8,August,Aug,Aug 2022,21,Sunday,1
20220822,2022-08-22,2022,3,Q3,8,August,Aug,Aug 2022,22,Monday,0
20220823,2022-08-23,2022,3,Q3,8,August,Aug,Aug 2022,23,Tuesday,0
20220824,2022-08-24,2022,3,Q3,8,August,Aug,Aug 2022,24,Wednesday,0
20220825,2022-08-25,2022,3,Q3,8,August,Aug,Aug 2022,25,Thursday,0
20220826,2022-08-26,2022,3,Q3,8,August,Aug,Aug 2022,26,Friday,0
20220827,2022-08-27,2022,3,Q3,8,August,Aug,Aug 2022,27,Saturday,1
20220828,2022-08-28,2022,3,Q3,8,August,Aug,Aug 2022,28,Sunday,1
20220829,2022-08-29,2022,3,Q3,8,August,Aug,Aug 2022,29,Monday,0
20220830,2022-08-30,2022,3,Q3,8,August,Aug,Aug 2022,30,Tuesday,0
20220831,2022-08-31,2022,3,Q3,8,August,Aug,Aug 2022,31,Wednesday,0
20220901,2022-09-01,2022,3,Q3,9,September,Sep,Sep 2022,1,Thursday,0
20220902,2022-09-02,2022,3,Q3,9,September,Sep,Sep 2022,2,Friday,0
20220903,2022-09-03,2022,3,Q3,9,September,Sep,Sep 2022,3,Saturday,1
20220904,2022-09-04,2022,3,Q3,9,September,Sep,Sep 2022,4,Sunday,1
20220905,2022-09-05,2022,3,Q3,9,September,Sep,Sep 2022,5,Monday,0
20220906,2022-09-06,2022,3,Q3,9,September,Sep,Sep 2022,6,Tuesday,0
20220907,2022-09-07,2022,3,Q3,9,September,Sep,Sep 2022,7,Wednesday,0
20220908,2022-09-08,2022,3,Q3,9,September,Sep,Sep 2022,8,Thursday,0
20220909,2022-09-09,2022,3,Q3,9,September,Sep,Sep 2022,9,Friday,0
20220910,2022-09-10,2022,3,Q3,9,September,Sep,Sep 2022,10,Saturday,1
20220911,2022-09-11,2022,3,Q3,9,September,Sep,Sep 2022,11,Sunday,1
20220912,2022-09-12,2022,3,Q3,9,September,Sep,Sep 2022,12,Monday,0
20220913,2022-09-13,2022,3,Q3,9,September,Sep,Sep 2022,13,Tuesday,0
20220914,2022-09-14,2022,3,Q3,9,September,Sep,Sep 2022,14,Wednesday,0
20220915,2022-09-15,2022,3,Q3,9,September,Sep,Sep 2022,15,Thursday,0
20220916,2022-09-16,2022,3,Q3,9,September,Sep,Sep 2022,16,Friday,0
20220917,2022-09-17,2022,3,Q3,9,September,Sep,Sep 2022,17,Saturday,1
20220918,2022-09-18,2022,3,Q3,9,September,Sep,Sep 2022,18,Sunday,1
20220919,2022-09-19,2022,3,Q3,9,September,Sep,Sep 2022,19,Monday,0
20220920,2022-09-20,2022,3,Q3,9,September,Sep,Sep 2022,20,Tuesday,0
20220921,2022-09-21,2022,3,Q3,9,September,Sep,Sep 2022,21,Wednesday,0
20220922,2022-09-22,2022,3,Q3,9,September,Sep,Sep 2022,22,Thursday,0
20220923,2022-09-23,2022,3,Q3,9,September,Sep,Sep 2022,23,Friday,0
20220924,2022-09-24,2022,3,Q3,9,September,Sep,Sep 2022,24,Saturday,1
20220925,2022-09-25,2022,3,Q3,9,September,Sep,Sep 2022,25,Sunday,1
20220926,2022-09-26,2022,3,Q3,9,September,Sep,Sep 2022,26,Monday,0
20220927,2022-09-27,2022,3,Q3,9,September,Sep,Sep 2022,27,Tuesday,0
20220928,2022-09-28,2022,3,Q3,9,September,Sep,Sep 2022,28,Wednesday,0
20220929,2022-09-29,2022,3,Q3,9,September,Sep,Sep 2022,29,Thursday,0
20220930,2022-09-30,2022,3,Q3,9,September,Sep,Sep 2022,30,Friday,0
20221001,2022-10-01,2022,4,Q4,10,October,Oct,Oct 2022,1,Saturday,1
20221002,2022-10-02,2022,4,Q4,10,October,Oct,Oct 2022,2,Sunday,1
20221003,2022-10-03,2022,4,Q4,10,October,Oct,Oct 2022,3,Monday,0
20221004,2022-10-04,2022,4,Q4,10,October,Oct,Oct 2022,4,Tuesday,0
20221005,2022-10-05,2022,4,Q4,10,October,Oct,Oct 2022,5,Wednesday,0
20221006,2022-10-06,2022,4,Q4,10,October,Oct,Oct 2022,6,Thursday,0
20221007,2022-10-07,2022,4,Q4,10,October,Oct,Oct 2022,7,Friday,0
20221008,2022-10-08,2022,4,Q4,10,October,Oct,Oct 2022,8,Saturday,1
20221009,2022-10-09,2022,4,Q4,10,October,Oct,Oct 2022,9,Sunday,1
20221010,2022-10-10,2022,4,Q4,10,October,Oct,Oct 2022,10,Monday,0
20221011,2022-10-11,2022,4,Q4,10,October,Oct,Oct 2022,11,Tuesday,0
20221012,2022-10-12,2022,4,Q4,10,October,Oct,Oct 2022,12,Wednesday,0
20221013,2022-10-13,2022,4,Q4,10,October,Oct,Oct 2022,13,Thursday,0
20221014,2022-10-14,2022,4,Q4,10,October,Oct,Oct 2022,14,Friday,0
20221015,2022-10-15,2022,4,Q4,10,October,Oct,Oct 2022,15,Saturday,1
20221016,2022-10-16,2022,4,Q4,10,October,Oct,Oct 2022,16,Sunday,1
20221017,2022-10-17,2022,4,Q4,10,October,Oct,Oct 2022,17,Monday,0
20221018,2022-10-18,2022,4,Q4,10,October,Oct,Oct 2022,18,Tuesday,0
20221019,2022-10-19,2022,4,Q4,10,October,Oct,Oct 2022,19,Wednesday,0
20221020,2022-10-20,2022,4,Q4,10,October,Oct,Oct 2022,20,Thursday,0
20221021,2022-10-21,2022,4,Q4,10,October,Oct,Oct 2022,21,Friday,0
20221022,2022-10-22,2022,4,Q4,10,October,Oct,Oct 2022,22,Saturday,1
20221023,2022-10-23,2022,4,Q4,10,October,Oct,Oct 2022,23,Sunday,1
20221024,2022-10-24,2022,4,Q4,10,October,Oct,Oct 2022,24,Monday,0
20221025,2022-10-25,2022,4,Q4,10,October,Oct,Oct 2022,25,Tuesday,0
20221026,2022-10-26,2022,4,Q4,10,October,Oct,Oct 2022,26,Wednesday,0
20221027,2022-10-27,2022,4,Q4,10,October,Oct,Oct 2022,27,Thursday,0
20221028,2022-10-28,2022,4,Q4,10,October,Oct,Oct 2022,28,Friday,0
20221029,2022-10-29,2022,4,Q4,10,October,Oct,Oct 2022,29,Saturday,1
20221030,2022-10-30,2022,4,Q4,10,October,Oct,Oct 2022,30,Sunday,1
20221031,2022-10-31,2022,4,Q4,10,October,Oct,Oct 2022,31,Monday,0
20221101,2022-11-01,2022,4,Q4,11,November,Nov,Nov 2022,1,Tuesday,0
20221102,2022-11-02,2022,4,Q4,11,November,Nov,Nov 2022,2,Wednesday,0
20221103,2022-11-03,2022,4,Q4,11,November,Nov,Nov 2022,3,Thursday,0
20221104,2022-11-04,2022,4,Q4,11,November,Nov,Nov 2022,4,Friday,0
20221105,2022-11-05,2022,4,Q4,11,November,Nov,Nov 2022,5,Saturday,1
20221106,2022-11-06,2022,4,Q4,11,November,Nov,Nov 2022,6,Sunday,1
20221107,2022-11-07,2022,4,Q4,11,November,Nov,Nov 2022,7,Monday,0
20221108,2022-11-08,2022,4,Q4,11,November,Nov,Nov 2022,8,Tuesday,0
20221109,2022-11-09,2022,4,Q4,11,November,Nov,Nov 2022,9,Wednesday,0
20221110,2022-11-10,2022,4,Q4,11,November,Nov,Nov 2022,10,Thursday,0
20221111,2022-11-11,2022,4,Q4,11,November,Nov,Nov 2022,11,Friday,0
20221112,2022-11-12,2022,4,Q4,11,November,Nov,Nov 2022,12,Saturday,1
20221113,2022-11-13,2022,4,Q4,11,November,Nov,Nov 2022,13,Sunday,1
20221114,2022-11-14,2022,4,Q4,11,November,Nov,Nov 2022,14,Monday,0
